title,score,categories,country,duration,release_date
本杰明·巴顿奇事 - The Curious Case of Benjamin Button,8.9,剧情/爱情/奇幻,美国,166 分钟,2008-12-25
倩女幽魂 - A Chinese Ghost Story,8.9,爱情/奇幻/武侠/古装,中国香港,98 分钟,2011-04-30
哈利·波特与死亡圣器（下） - Harry Potter and the Deathly Hallows: Part 2,8.9,剧情/悬疑/奇幻/冒险,英国、美国,130 分钟,2011-08-04
甜蜜蜜 - Comrades: Almost a Love Story,8.9,剧情/爱情,中国香港,118 分钟,2015-02-13
蝙蝠侠：黑暗骑士崛起 - The Dark Knight Rises,8.9,剧情/动作/科幻/惊悚/犯罪,美国、英国,165 分钟,2012-08-27
鬼子来了 - Devils on the Doorstep,8.8,剧情/战争,中国大陆,139 分钟,2000-05-13
无敌破坏王 - Wreck-It Ralph,8.8,喜剧/动画/奇幻/冒险,美国,101 分钟,2012-11-06
致命魔术 - The Prestige,8.8,剧情/悬疑/惊悚,美国、英国,130 分钟,2006-10-17
神偷奶爸 - Despicable Me,8.8,喜剧/动画/冒险,美国、法国,95 分钟,2010-06-20
断背山 - Brokeback Mountain,8.8,剧情/爱情/家庭,美国、加拿大,134 分钟,2005-09-02
怦然心动 - Flipped,8.8,剧情/喜剧/爱情,美国,90 分钟,2010-07-26
驯龙高手 - How to Train Your Dragon,8.8,喜剧/动画/奇幻/冒险,美国,98 分钟,2010-05-14
飞屋环游记 - Up,8.8,剧情/喜剧/动画/冒险,美国,96 分钟,2009-08-04
黑客帝国3：矩阵革命 - The Matrix Revolutions,8.8,动作/科幻,美国、澳大利亚,129 分钟,2003-11-05
速度与激情5 - Fast Five,8.9,动作/犯罪,美国,130 分钟,2011-05-12
勇敢的心 - Braveheart,8.9,剧情/动作/传记/历史/战争,美国,177 分钟,1995-05-18
三傻大闹宝莱坞 - 3 Idiots,8.9,剧情/喜剧/爱情/歌舞,印度,171 分钟,2011-12-08
